id,key,value,type
23229665,source,knowledge,regular
23240025,highway,service,regular
23240025,surface,unpaved,regular
23288726,oneway,yes,regular
23288726,source,nearmap,regular
23288726,highway,secondary_link,regular
23369004,ref,S 10,regular
23369004,name,Balcombe Road,regular
23369004,lanes,1,regular
23369004,oneway,yes,regular
23369004,highway,primary_link,regular
23378389,highway,secondary,regular
23378389,junction,roundabout,regular
23416347,ref,S 50,regular
23416347,name,Somerville Road,regular
23416347,oneway,yes,regular
23416347,highway,tertiary,regular
23478473,foot,yes,regular
23478473,name,Federation Trail,regular
23478473,layer,-1,regular
23478473,tunnel,yes,regular
23478473,bicycle,yes,regular
23478473,highway,cycleway,regular
23478473,cycleway,track,regular
23594652,highway,residential,regular
23594652,maxspeed,50,regular
23594652,name,Dove Avenue,regular
23661040,highway,service,regular
23703649,name,Gibbs Street,regular
23703649,highway,residential,regular
23713654,foot,designated,regular
23713654,name,Eaton Mall,regular
23713654,source,nearmap,regular
23713654,highway,pedestrian,regular
23730435,highway,residential,regular
23730435,maxspeed,50,regular
23730435,name,The Esplanade,regular
23730435,source,yahoo,regular
23730435,name,survey,source
23780199,oneway,yes,regular
23780199,highway,residential,regular
23785104,foot,yes,regular
23785104,bicycle,yes,regular
23785104,highway,cycleway,regular
23785104,surface,concrete,regular
23785104,cycleway,track,regular
23799106,highway,service,regular
23837559,name,Mervyn G Hughes Oval,regular
23837559,sport,cricket;australian_football,regular
23837559,source,yahoo,regular
23837559,leisure,pitch,regular
23837559,surface,grass,regular
23891604,name,Hay Street,regular
23891604,highway,residential,regular
23891987,name,Sutherland Place,regular
23891987,highway,residential,regular
23892964,name,Brad Court,regular
23892964,highway,residential,regular
23893750,name,Lindenow Court,regular
23893750,highway,residential,regular
23895405,name,Martha Street,regular
23895405,highway,residential,regular
23897758,name,Robina Court,regular
23897758,highway,residential,regular
23908112,name,Lawn Road,regular
23908112,highway,residential,regular
23908112,surface,asphalt,regular
23908328,name,Woodstock Place,regular
23908328,highway,residential,regular
23909306,name,Meadowbrook Place,regular
23909306,highway,residential,regular
23910066,name,Genesta Court,regular
23910066,highway,residential,regular
23910672,name,Nance Street,regular
23910672,highway,residential,regular
23911078,name,Armadale Avenue,regular
23911078,highway,residential,regular
23920126,name,Cherrywood Way,regular
23920126,highway,residential,regular
23920126,maxspeed,AU:urban,source
23925396,highway,trunk,regular
23925396,surface,asphalt,regular
23926581,name,Torquay Close,regular
23926581,highway,residential,regular
23946625,name,Williams Close,regular
23946625,highway,residential,regular
23973854,name,Souter Street,regular
23973854,highway,residential,regular
24020318,name,Brookville Court,regular
24020318,highway,residential,regular
24020318,maxspeed,AU:urban,source
24053954,name,Lightfoot Street,regular
24053954,source,Yahoo,regular
24053954,highway,residential,regular
24053954,name,survey;photo,source
24118645,name,Nunawading Basketball Stadium,regular
24118645,sport,badminton;basketball;netball;volleyball,regular
24118645,leisure,sports_centre,regular
24118645,building,yes,regular
24204463,highway,service,regular
24204463,created_by,Potlatch 0.8c,regular
24253099,name,Barnett Grove,regular
24253099,highway,residential,regular
24315091,name,Breakwater Road,regular
24315091,highway,tertiary,regular
24320833,name,Exner Drive,regular
24320833,highway,residential,regular
24335058,name,Clay Court,regular
24335058,highway,residential,regular
24335238,name,Frognal Drive,regular
24335238,highway,residential,regular
24372308,ref,M3,regular
24372308,name,Eastern Freeway,regular
24372308,lanes,3,regular
24372308,oneway,yes,regular
24372308,highway,motorway,regular
24372308,surface,asphalt,regular
24372308,website,www.eastlink.com.au,regular
24372308,maxspeed,100,regular
24372308,destination,Ringwood;Frankston,regular
24386651,ref,B360,regular
24386651,name,Maroondah Highway,regular
24386651,highway,primary,regular
24386651,maxspeed,60,regular
24411730,name,Swinburne University of Technology - Wantirna Campus,regular
24411730,layer,-3,regular
24411730,amenity,university,regular
24411730,website,www.swinburne.edu.au/campuses/wantirna,regular
24474309,foot,yes,regular
24474309,highway,footway,regular
24474309,created_by,Potlatch 0.10f,regular
24479832,name,Paramount Avenue,regular
24479832,highway,residential,regular
24488154,foot,yes,regular
24488154,name,Ferny Creek Trail,regular
24488154,bicycle,yes,regular
24488154,highway,cycleway,regular
24488154,surface,paved,regular
24489807,name,North Carlton Childrens Centre,regular
24489807,amenity,kindergarten,regular
24489807,created_by,JOSM,regular
24492427,name,Mount Dandenong Road,regular
24492427,oneway,yes,regular
24492427,highway,primary,regular
24501406,name,Dorset Road Service Road,regular
24501406,highway,unclassified,regular
24501406,maxspeed,50,regular
24504974,name,Pascoe Road,regular
24504974,highway,residential,regular
24519588,name,Clematis Avenue,regular
24519588,highway,residential,regular
24519588,surface,asphalt,regular
24519588,maxspeed,50,regular
24531440,lanes,1,regular
24531440,oneway,yes,regular
24531440,highway,secondary_link,regular
24548943,ref,S 9,regular
24548943,name,Stud Road,regular
24548943,lanes,2,regular
24548943,layer,1,regular
24548943,bridge,yes,regular
24548943,oneway,yes,regular
24548943,highway,trunk,regular
24548943,network,S,regular
24548943,surface,asphalt,regular
24548943,cycleway,lane,regular
24548943,maxspeed,80,regular
24562548,name,Howey Road,regular
24562548,lanes,1,regular
24562548,highway,residential,regular
24577357,ref,S 47,regular
24577357,name,Station Street,regular
24577357,lanes,4,regular
24577357,highway,secondary,regular
24577357,network,S,regular
24577357,surface,paved,regular
24577357,maxspeed,60,regular
24590329,lanes,1,regular
24590329,oneway,yes,regular
24590329,highway,service,regular
24604562,name,Western Road,regular
24604562,highway,residential,regular
24604562,maxspeed,50,regular
24661779,name,Dunoon Street,regular
24661779,highway,residential,regular
24672908,highway,trunk,regular
24672908,lanes,3,regular
24672908,maxheight,5.5,regular
24672908,name,Ballarat Road,regular
24672908,network,S,regular
24672908,old_name,Western Highway,regular
24672908,oneway,yes,regular
24672908,ref,S 8,regular
24676701,ref,M80,regular
24676701,name,Western Ring Road,regular
24676701,lanes,2,regular
24676701,oneway,yes,regular
24676701,source,survey;Yahoo,regular
24676701,highway,motorway,regular
24676701,network,NH,regular
24676701,maxspeed,100,regular
24690680,name,Western Ring Road Onramp,regular
24690680,oneway,yes,regular
24690680,highway,motorway_link,regular
24706227,highway,residential,regular
24706227,name,Parliament Place,regular
24706227,surface,asphalt,regular
24722578,foot,yes,regular
24722578,source,Bing,regular
24722578,bicycle,yes,regular
24722578,highway,cycleway,regular
24722578,surface,unpaved,regular
24722578,cycleway,track,regular
24745555,name,Sinclair Road,regular
24745555,highway,residential,regular
24818433,area,yes,regular
24818433,building,yes,regular
24818433,created_by,Potlatch 0.9c,regular
24835122,foot,yes,regular
24835122,name,Burwood Highway Trail,regular
24835122,bicycle,yes,regular
24835122,highway,cycleway,regular
24835122,cycleway,track,regular
24887506,name,Melaluka Road,regular
24887506,highway,tertiary,regular
24927313,highway,service,regular
24966930,ref,S 47,regular
24966930,name,Huntingdale Road,regular
24966930,highway,secondary,regular
24966930,network,S,regular
24966930,maxspeed,60,regular
25056828,foot,yes,regular
25056828,name,EastLink Trail,regular
25056828,layer,1,regular
25056828,bridge,yes,regular
25056828,bicycle,yes,regular
25056828,highway,cycleway,regular
25056828,cycleway,track,regular
25107333,name,Sir Kenneth Luke Stand,regular
25107333,website,http://www.austadiums.com/stadiums/stadiums.php?id=133,regular
25107333,building,yes,regular
25133265,name,Jersey Street,regular
25133265,highway,residential,regular
25248618,name,Thompson Road Offramp,regular
25248618,lanes,2,regular
25248618,oneway,yes,regular
25248618,source,nearmap,regular
25248618,highway,motorway_link,regular
25248618,maxspeed,100,regular
25248618,destination,Thompson Road;Patterson Lakes;Cranbourne,regular
25293740,foot,yes,regular
25293740,highway,footway,regular
25314028,name,Alan Bird Drive,regular
25314028,lanes,1,regular
25314028,oneway,yes,regular
25314028,source,nearmap,regular
25314028,highway,service,regular
25403660,foot,yes,regular
25403660,name,Dandenong Creek Trail,regular
25403660,bicycle,yes,regular
25403660,highway,cycleway,regular
25403660,surface,paved,regular
25403660,cycleway,track,regular
25426648,name,Gibdon Street,regular
25426648,oneway,yes,regular
25426648,highway,unclassified,regular
25451096,name,Loloma Court,regular
25451096,highway,residential,regular
25451096,junction,roundabout,regular
25466388,building,yes,regular
25519855,ref,C777,regular
25519855,name,Boneo Road,regular
25519855,oneway,yes,regular
25519855,highway,secondary,regular
25519855,maxspeed,60,regular
25520397,name,Stockdale Way,regular
25520397,source,bing,regular
25520397,highway,residential,regular
25545622,name,Halter Crescent,regular
25545622,source,bing,regular
25545622,highway,residential,regular
25562010,foot,yes,regular
25562010,highway,footway,regular
25562010,created_by,Potlatch 0.9c,regular
25563310,name,Yarra Road,regular
25563310,oneway,yes,regular
25563310,highway,tertiary,regular
25586839,lanes,1,regular
25586839,highway,tertiary,regular
25586839,junction,roundabout,regular
25606436,name,View Street,regular
25606436,highway,residential,regular
25606436,name,Collins 1936,source
25608290,name,Sandhurst Road,regular
25608290,oneway,yes,regular
25608290,highway,residential,regular
25621951,name,Tolhurst Place,regular
25621951,highway,residential,regular
25679459,name,Mudgee Street,regular
25679459,highway,residential,regular
25715509,ref,C101,regular
25715509,name,Princes Highway,regular
25715509,lanes,4,regular
25715509,highway,secondary,regular
25715509,alt_name,Beaconsfield - Berwick Main Road,regular
25715509,maxspeed,70,regular
25735237,ref,B110,regular
25735237,name,Point Nepean Road,regular
25735237,lanes,1,regular
25735237,oneway,yes,regular
25735237,highway,primary,regular
25735237,surface,asphalt,regular
25735237,cycleway,lane,regular
25735237,maxspeed,60,regular
25740900,highway,service,regular
25757597,name,Glen Huntly Road,regular
25757597,highway,tertiary,regular
25793416,name,Danin Street,regular
25793416,highway,residential,regular
25797932,name,Flora Road,regular
25797932,highway,residential,regular
25841047,name,Riding Boundary Road,regular
25841047,highway,unclassified,regular
25841047,surface,asphalt,regular
25841047,maxspeed,60,regular
25866952,name,Banyule Road,regular
25866952,lanes,1,regular
25866952,layer,1,regular
25866952,bridge,yes,regular
25866952,highway,tertiary,regular
25866952,surface,asphalt,regular
25866952,maxspeed,50,regular
25909575,source,yahoo,regular
25909575,highway,service,regular
25909575,surface,unpaved,regular
25909575,created_by,Potlatch 0.10b,regular
25926185,foot,yes,regular
25926185,source,Bing,regular
25926185,bicycle,yes,regular
25926185,highway,cycleway,regular
25932815,name,East Crescent,regular
25932815,highway,residential,regular
25936317,highway,residential,regular
25936317,maxspeed,50,regular
25936317,name,Eppalock Circuit,regular
25943855,name,Nevada Street,regular
25943855,highway,residential,regular
25992503,source,yahoo,regular
25992503,highway,service,regular
25992503,created_by,Potlatch 0.10b,regular
26131163,layer,-5,regular
26131163,access,private,regular
26131163,tunnel,yes,regular
26131163,highway,service,regular
26177351,name,Surrey Court,regular
26177351,source,MMBW,regular
26177351,highway,residential,regular
26262123,name,Victoria Court,regular
26262123,highway,service,regular
26262123,service,alley,regular
26327109,access,private,regular
26327109,highway,service,regular
26327109,created_by,Potlatch 0.10b,regular
26386246,foot,yes,regular
26386246,bicycle,yes,regular
26386246,highway,cycleway,regular
26386246,surface,unpaved,regular
26386246,cycleway,track,regular
26408500,source,yahoo,regular
26408500,highway,residential,regular
26408500,junction,roundabout,regular
26429850,oneway,yes,regular
26429850,highway,cycleway,regular
26447411,foot,yes,regular
26447411,source,yahoo,regular
26447411,bicycle,yes,regular
26447411,highway,cycleway,regular
26447411,cycleway,track,regular
26449163,name,Stonemark Street,regular
26449163,source,yahoo,regular
26449163,highway,residential,regular
26449163,name,photo,source
26451091,name,Prince Street,regular
26451091,source,yahoo,regular
26451091,highway,residential,regular
26451091,name,Collins 1936,source
26488733,lanes,2,regular
26488733,highway,secondary,regular
26488733,junction,roundabout,regular
26489049,name,Hillary Street,regular
26489049,source,yahoo,regular
